Question,Answer
What are the symptoms of Autosomal dominant partial epilepsy with auditory features ?,"What are the signs and symptoms of Autosomal dominant partial epilepsy with auditory features? The Human Phenotype Ontology provides the following list of signs and symptoms for Autosomal dominant partial epilepsy with auditory features. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Auditory auras - Autosomal dominant inheritance - Bilateral convulsive seizures - Focal seizures with impairment of consciousness or awareness - Focal seizures without impairment of consciousness or awareness - Incomplete penetrance - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
Is gastrointestinal stromal tumor inherited ?,"Most cases of GIST are not inherited. Sporadic GIST is associated with somatic mutations, which are genetic changes that occur only in the tumor cells and occur during a person's lifetime.  In some cases of familial GIST, including those associated with mutations in the KIT and PDGFRA genes, mutations are inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to increase a person's chance of developing tumors.  When familial GIST is associated with mutations in other genes, it can have an autosomal recessive pattern of inheritance, which means alterations in both copies of the gene in each cell increase a person's chance of developing tumors."
What are the symptoms of Immunodeficiency without anhidrotic ectodermal dysplasia ?,"What are the signs and symptoms of Immunodeficiency without anhidrotic ectodermal dysplasia? The Human Phenotype Ontology provides the following list of signs and symptoms for Immunodeficiency without anhidrotic ectodermal dysplasia. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) IgA deficiency - IgG deficiency - Immunodeficiency - Impaired memory B-cell generation - Increased IgM level - Recurrent mycobacterium avium complex infections - X-linked recessive inheritance - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
What are the treatments for Mnire's disease ?,"How might Mnire's disease be treated? At the present time there is no cure for Mnire's disease, but there are several safe and effective medical and surgical therapies that are available to help individuals cope with the symptoms. The symptoms of the disease are often controlled successfully by reducing the bodys retention of fluids through dietary changes (such as a low-salt or salt-free diet and no caffeine or alcohol). Medications such as antihistamines, anticholinergics, and diuretics may lower endolymphatic pressure by reducing the amount of endolymphatic fluid. Eliminating tobacco use and reducing stress levels may also help lessen the severity of symptoms. Symptoms such as dizziness, vertigo, and associated nausea and vomiting may respond to sedative/hypnotics, benzodiazepines like diazepam and anti-emetics. Different surgical procedures are an option for individuals with persistent, debilitating vertigo. Labyrinthectomy (removal of the inner ear sense organ) can effectively control vertigo, but sacrifices hearing and is reserved for patients with nonfunctional hearing in the affected ear. Vestibular neurectomy, selectively severing a nerve from the affected inner ear organ, usually controls the vertigo while preserving hearing but carries surgical risks. Recently, the administration of the ototoxic antibiotic gentamycin directly into the middle ear space has gained popularity worldwide for the control of vertigo associated with Mnire's disease. An article published in the journal Lancet in August 2008, written by Sajjadi and Paparella, reviews treatment options and strategies for individuals with Mnire's disease. Click here to view the abstract of this article. To obtain the complete article, the NLM Web site has a page for locating libraries in your area that can provide direct access to journals (print or online) or where you can get articles through interlibrary loan and Loansome Doc (an NLM document-ordering service). Click on NLM Web site to access this page or go to the following link: http://nnlm.gov/members/. You can also contact the NLM toll-free at 888-346-3656 to locate libraries in your area."
What are the symptoms of Albright's hereditary osteodystrophy ?,"What are the signs and symptoms of Albright's hereditary osteodystrophy? Albright's hereditary osteodystophy is a genetic disorder that can cause many different symptoms. People with this disorder usually have short stature, obesity, round face, short bones in the hands and feet (brachydactyly), subcutaneous (under the skin) ossifications (replacement of cartilage by bone), and dimples on affected knuckles. Some people may have mild developmental delay. People with this disorder usually are resistant to parathyroid hormone (which is a condition called pseudohypoparathyroidism). This causes low levels of calcium in the bones and the blood. Low levels of calcium in the blood (hypocalcemia) can cause numbness, seizures, cataracts (cloudy lens in the eye), dental issues, and tetany (muscle twitches and hand and foot spasms). The Human Phenotype Ontology provides the following list of signs and symptoms for Albright's hereditary osteodystrophy. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormal joint morphology 90% Abnormality of calcium-phosphate metabolism 90% Cafe-au-lait spot 90% Gynecomastia 90% Hyperphosphatemia 90% Hyperthyroidism 90% Obesity 90% Precocious puberty 90% Round face 90% Skeletal dysplasia 90% Abnormality of the menstrual cycle 50% Abnormality of the penis 50% Coarse facial features 50% Cognitive impairment 50% Dry skin 50% Goiter 50% Scoliosis 50% Thin skin 50% Abnormality of the hip bone 7.5% Alopecia 7.5% Craniofacial hyperostosis 7.5% Hearing impairment 7.5% Neoplasm of the breast 7.5% Neoplasm of the thyroid gland 7.5% Polycystic ovaries 7.5% Recurrent fractures 7.5% Sarcoma 7.5% Testicular neoplasm 7.5% Visual impairment 7.5% Autosomal dominant inheritance - Basal ganglia calcification - Brachydactyly syndrome - Cataract - Choroid plexus calcification - Delayed eruption of teeth - Depressed nasal bridge - Elevated circulating parathyroid hormone (PTH) level - Full cheeks - Hypocalcemic tetany - Hypogonadism - Hypoplasia of dental enamel - Hypothyroidism - Intellectual disability - Low urinary cyclic AMP response to PTH administration - Nystagmus - Osteoporosis - Phenotypic variability - Pseudohypoparathyroidism - Seizures - Short finger - Short metacarpal - Short metatarsal - Short neck - Short stature - Short toe - Thickened calvaria - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
What are the symptoms of Spinocerebellar ataxia 26 ?,"What are the signs and symptoms of Spinocerebellar ataxia 26? The Human Phenotype Ontology provides the following list of signs and symptoms for Spinocerebellar ataxia 26. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Adult onset - Autosomal dominant inheritance - Cerebellar atrophy - Dysarthria - Dysmetric saccades - Gait ataxia - Impaired horizontal smooth pursuit - Incoordination - Limb ataxia - Nystagmus - Slow progression - Truncal ataxia - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
What are the genetic changes related to epidermolysis bullosa simplex ?,"The four major types of epidermolysis bullosa simplex can result from mutations in either the KRT5 or KRT14 gene. These genes provide instructions for making proteins called keratin 5 and keratin 14. These tough, fibrous proteins work together to provide strength and resiliency to the outer layer of the skin (the epidermis). Mutations in either the KRT5 or KRT14 gene prevent the keratin proteins from assembling into strong networks, causing cells in the epidermis to become fragile and easily damaged. As a result, the skin is less resistant to friction and minor trauma and blisters easily. In rare cases, no KRT5 or KRT14 gene mutations are identified in people with one of the four major types of epidermolysis bullosa simplex.  Mutations in another gene, PLEC, have been associated with the rare Ogna type of epidermolysis bullosa simplex. The PLEC gene provides instructions for making a protein called plectin, which helps attach the epidermis to underlying layers of skin. Researchers are working to determine how PLEC gene mutations lead to the major features of the condition."
Is MEGDEL syndrome inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
What are the treatments for Chronic lymphocytic inflammation with pontine perivascular enhancement responsive to steroids ?,"How might CLIPPERS be treated? The signs and symptoms of CLIPPERS typically improve after treatment with steroids. Initial treatment may involve a short course of high dose steroids given intravenously, and then oral steroids. Many patients experience a relapse when steroids are tapered off, so it is usually necessary to continue treatment that suppresses the immune system. Long term treatment may include a low dose of oral steroids and another type of immune suppressant, such as methotrexate or rituximab. Because there have been very few patients with CLIPPERS reported in medical journals, the best course of treatment has not yet been determined."
What is (are) 16p11.2 deletion syndrome ?,"16p11.2 deletion syndrome is a disorder caused by a deletion of a small piece of chromosome 16. The deletion occurs near the middle of the chromosome at a location designated p11.2.  People with 16p11.2 deletion syndrome usually have developmental delay and intellectual disability. Most also have at least some features of autism spectrum disorders. These disorders are characterized by impaired communication and socialization skills, as well as delayed development of speech and language. In 16p11.2 deletion syndrome, expressive language skills (vocabulary and the production of speech) are generally more severely affected than receptive language skills (the ability to understand speech). Some people with this disorder have recurrent seizures (epilepsy).  Some affected individuals have minor physical abnormalities such as low-set ears or partially webbed toes (partial syndactyly). People with this disorder are also at increased risk of obesity compared with the general population. However, there is no particular pattern of physical abnormalities that characterizes 16p11.2 deletion syndrome. Signs and symptoms of the disorder vary even among affected members of the same family. Some people with the deletion have no identified physical, intellectual, or behavioral abnormalities."
